rank,max_spread_width_call,max_spread_width_put,max_trading_hour,min_trading_hour,option_type,percent_beyond_call,percent_beyond_put,total_trades,win_rate,total_credits,total_gains,total_losses,net_pnl,profit_factor,roi
2682,20,20,10,9,both,0.025,0.0125,27,85.19,289962.0,143712.0,197750.0,-54038.0,0.7267,-4.05
2683,30,20,10,9,both,0.025,0.0125,27,85.19,289962.0,143712.0,197750.0,-54038.0,0.7267,-4.05
2684,10,10,13,12,both,0.02,0.0075,10,80.0,118535.0,45604.89,99835.0,-54230.11,0.4568,-10.92
2685,10,10,13,12,both,0.025,0.0075,10,80.0,118535.0,45604.89,99835.0,-54230.11,0.4568,-10.92
2686,10,10,13,12,both,0.02,0.01,9,77.78,118235.0,45304.89,99835.0,-54530.11,0.4538,-12.21
2687,10,10,13,12,both,0.025,0.01,9,77.78,118235.0,45304.89,99835.0,-54530.11,0.4538,-12.21
2688,30,10,13,12,both,0.02,0.0075,11,81.82,117515.0,44584.89,99835.0,-55250.11,0.4466,-10.17
2689,20,10,13,12,both,0.02,0.0075,10,80.0,117323.0,44392.89,99835.0,-55442.11,0.4447,-11.19
2690,20,10,13,12,both,0.025,0.0075,10,80.0,117323.0,44392.89,99835.0,-55442.11,0.4447,-11.19
2691,30,10,13,12,both,0.025,0.0075,10,80.0,117323.0,44392.89,99835.0,-55442.11,0.4447,-11.19
2692,30,10,13,12,both,0.02,0.01,10,80.0,117215.0,44284.89,99835.0,-55550.11,0.4436,-11.25
2693,20,10,13,12,both,0.02,0.01,9,77.78,117023.0,44092.89,99835.0,-55742.11,0.4417,-12.5
2694,20,10,13,12,both,0.025,0.01,9,77.78,117023.0,44092.89,99835.0,-55742.11,0.4417,-12.5
2695,30,10,13,12,both,0.025,0.01,9,77.78,117023.0,44092.89,99835.0,-55742.11,0.4417,-12.5
2696,10,10,10,9,both,0.015,0.005,39,89.74,314145.0,143531.0,199386.0,-55855.0,0.7199,-2.89
2697,20,30,8,6,both,0.015,0.0075,45,82.22,698382.0,293976.0,350049.8,-56073.8,0.8398,-2.55
2698,20,10,10,9,both,0.015,0.005,39,89.74,313492.0,142878.0,199386.0,-56508.0,0.7166,-2.92
2699,10,30,9,8,both,0.025,0.0125,31,87.1,222286.0,139364.0,196078.0,-56714.0,0.7108,-3.76
2700,20,30,9,8,both,0.025,0.0125,31,87.1,222286.0,139364.0,196078.0,-56714.0,0.7108,-3.76
2701,30,30,9,8,both,0.025,0.0125,31,87.1,222286.0,139364.0,196078.0,-56714.0,0.7108,-3.76
2702,10,30,11,7,both,0.02,0.005,45,82.22,860846.0,337294.0,394448.0,-57154.0,0.8551,-2.6
2703,20,30,11,7,both,0.02,0.005,45,82.22,860846.0,337294.0,394448.0,-57154.0,0.8551,-2.6
2704,30,30,11,7,both,0.02,0.005,45,82.22,860846.0,337294.0,394448.0,-57154.0,0.8551,-2.6
2705,10,30,11,7,both,0.025,0.005,45,82.22,860846.0,337294.0,394448.0,-57154.0,0.8551,-2.6
2706,20,30,11,7,both,0.025,0.005,45,82.22,860846.0,337294.0,394448.0,-57154.0,0.8551,-2.6
2707,30,30,11,7,both,0.025,0.005,45,82.22,860846.0,337294.0,394448.0,-57154.0,0.8551,-2.6
2708,30,10,10,9,both,0.015,0.005,39,89.74,312560.0,141946.0,199386.0,-57440.0,0.7119,-2.97
2709,10,30,10,7,both,0.02,0.0075,45,84.44,682632.0,268189.0,326738.64,-58549.64,0.8208,-2.66
2710,20,30,10,7,both,0.02,0.0075,45,84.44,682524.0,268081.0,326738.64,-58657.64,0.8205,-2.67
2711,30,30,10,7,both,0.02,0.0075,45,84.44,682504.0,268061.0,326738.64,-58677.64,0.8204,-2.67
2712,10,30,10,7,both,0.025,0.0075,45,84.44,682275.0,267832.0,326738.64,-58906.64,0.8197,-2.68
2713,20,30,10,7,both,0.025,0.0075,45,84.44,682275.0,267832.0,326738.64,-58906.64,0.8197,-2.68
2714,30,30,10,7,both,0.025,0.0075,45,84.44,682275.0,267832.0,326738.64,-58906.64,0.8197,-2.68
2715,10,10,10,9,both,0.015,0.0125,34,88.24,201988.0,92895.0,152751.82,-59856.82,0.6081,-3.55
2716,20,10,10,9,both,0.015,0.0125,34,88.24,201535.0,92442.0,152751.82,-60309.82,0.6052,-3.58
2717,30,10,10,9,both,0.015,0.0125,34,88.24,200470.0,91377.0,152751.82,-61374.82,0.5982,-3.65
2718,10,10,10,9,both,0.015,0.0075,39,89.74,308008.0,137394.0,199386.0,-61992.0,0.6891,-3.2
2719,20,20,13,11,both,0.02,0.0125,16,68.75,501880.0,185865.0,247985.0,-62120.0,0.7495,-7.86
2720,30,20,13,11,both,0.02,0.0125,17,70.59,501707.0,185692.0,247985.0,-62293.0,0.7488,-7.45
2721,20,10,10,8,both,0.02,0.0125,40,87.5,319647.0,186299.0,248652.0,-62353.0,0.7492,-3.15
